Move Component(s) Origin to Grid
Filename     : C:\Users\Eric\Documents\Electrical_Engineering\Altium_Projects\LDO_3V3\LDO_3V3.PcbDoc
Date         : 12/30/2025
Time         : 3:07:20 AM
Time Elapsed : 00:00:00


    SMT Small Component R1-0.22 O (110.761mm,89.662mm) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component C3-10 µF (89.826mm,91.999mm) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R5-470 O (107.856mm,89.662mm) on Top Layer - Component pads are OFF grid. No action taken.
    Component Q1-PNP (108.585mm,81.28mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component U2-TL431ASA-7 (95.139mm,89.093mm) on Top Layer - Component pads are OFF grid. No action taken.
    SOIC Component U1-LM358ADT (101.981mm,89.408mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R7-30.1 kO (93.345mm,81.661mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R6-10 kO (96.52mm,81.661mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R4-2.7 kO (104.436mm,97.711mm) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R3-10 kO (100.415mm,97.711mm) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R2-1.8 kO (96.139mm,97.711mm) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component J3-HTSW-101-07-L-S (114.3mm,99.06mm) on Bottom Layer - Component origin is already ON grid.
    Small Component J2-HTSW-101-07-L-S (88.9mm,81.28mm) on Bottom Layer - Component origin is already ON grid.
    Small Component J4-HTSW-101-07-L-S (114.3mm,81.28mm) on Bottom Layer - Component origin is already ON grid.
    SMT Small Component J1-HTSW-101-07-L-S (88.9mm,99.06mm) on Bottom Layer - Component origin is already ON grid.
    SMT Small Component C6-22 µF (110.49mm,97.663mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component C5-0.1 µF (99.822mm,81.661mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component C4-22 µF (103.124mm,81.661mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component C2-0.1 µF (102.108mm,93.98mm) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component C1-10 µF (113.665mm,89.662mm) on Top Layer - Component pads are OFF grid. No action taken.
count : 20
